numero_dpe;nom_methode_dpe;date_etablissement_dpe;consommation_energie;classe_consommation_energie;estimation_ges;classe_estimation_ges;secteur_activite;annee_construction;surface_habitable;tv016_departement_id;commune;nom_rue;numero_rue;batiment;escalier;etage;porte;code_postal;numero_lot;etat_avancement;organisme_certificateur;adresse_organisme_certificateur;longitude;latitude;geo_adresse;tr013_type_erp_type;tv017_zone_hiver_code
1392V8000001I;Méthode Facture;25/04/2013;1018;G;33;D;Autres (théâtres, salles de sport, restaurati;1947;1014.53;92;RUEIL-MALMAISON;Hôtel Le Relais 93 boulevard Franklin Roosevelt;;;;;;92500;Non communiqué;1;Bureau Veritas Certification;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);;;;;H1
1392V6000001G;Méthode Facture;25/04/2013;915;F;29;B;Occupation continue (hôpitaux, hôtels, intern;1947;588.17;92;RUEIL-MALMAISON;Hôtel Le Relais 93 boulevard Franklin Roosevelt;;;;;;92500;Non communiqué;1;Bureau Veritas Certification;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);;;;;H1
1392V8000002J;Méthode Facture;25/04/2013;6997;G;227;G;Autres (théâtres, salles de sport, restaurati;1;116.05;92;RUEIL-MALMAISON;Hôtel Le Relais 93 boulevard Franklin Roosevelt;;;;;;92500;Non communiqué;1;Bureau Veritas Certification;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);;;;;H1
1393V4000003H;Méthode Facture;04/05/2013;624;F;20;C;Bureau, Administration, Enseignement;1947;965.47;93;AULNAY SOUS BOIS;5 RUE LEON JOUHAUX;;;;;;93600;Sans objet;1;C115 QUALIXPERT 17 RUE BORREL 81100 CASTRES;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);;;;;H1
1393V3000001E;Méthode Facture;05/05/2013;1702;G;55;D;Bureau, Administration, Enseignement;1947;57.20;93;DRANCY;70 AVENUE HENRI BARBUSSE;;;;;;93700;Non communiqué(s);1;C 112 PAR QUALIXPERT 17 RUE BORREL 81100 CASTRES;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);4.1026819;48.3022071;Avenue Henri Barbusse (Pont) Saint-Parres-aux-Tertres;;H1
1375V8000003L;Méthode Facture;06/05/2013;1030;G;33;D;Autres (théâtres, salles de sport, restaurati;1947;99.00;75;PARIS;68 rue Manin;;;Etage RDC;;;75019;;1;Bureau Veritas Certification - 60 avenue du Général de Gaulle - 92046 Paris La Défense;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);2.279889;48.768716;68 Rue Jean Longuet 92290 Châtenay-Malabry;;H1
1395V8000002M;FACTURE;14/05/2013;658.83;G;21.45;C;\N;1996;77.00;95;MENUCOURT;5, rue de la Marèche;\N;\N;\N;\N;\N;95180;;1;ICERT;Beauchamp;1.980013;49.025538;5 Rue de la Mareche 95180 Menucourt;M : Magasins de vente, centres commerciaux;H1
1375V3000001E;FACTURE - DPE;15/05/2013;571.96;F;18.62;C;Bureaux;1948;46.75;75;PARIS;Jules Guesde;25;;;;;75014;;1;CERTIFICATED;12, avenue Gay Lussac ZAC La Clef Saint Pierre 78990 ELANCOURT;2.321501;48.836163;25 Rue Jules Guesde 75014 Paris;;H1
1394L2000011E;FACTURE;15/05/2013;651.51;F;21.21;C;\N;1982;495.00;94;VILLEJUIF;100 avenue de Stalingrad;\N;\N;\N;\N;\N;94800;Nc;1;AFAQ;11 rue Francis de Pressensé 93571 La Plaine Saint Denis;2.366931;48.783434;100 Avenue de Stalingrad 94800 Villejuif;;H1
1375C2000002D;Méthode Facture;16/05/2013;355;F;11;B;Centres Commerciaux;1947;36.98;75;PARIS 11;18, rue de BELFORT;;;"Bat. rue; Etage RDC; Porte Droite";;;75011;113;1;Bureau Veritas;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);2.478715;48.773399;18 Rue de l’Avenir 94380 Bonneuil-sur-Marne;;H1
